"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,15340,59120,25.762,291.94,115.81,0.43197
401,12827,58139,33.204,767.07,373,0.34565
403,12430,58300,31.808,416.12,262.66,0.22608
403,13203,58339,25.627,781.45,232.45,0.54147
404,13296,58325,17.841,1231.3,638.84,0.31682
404,14810,57982,31.15,250.08,106.29,0.4035
405,14755,59056,36.306,439.71,295.33,0.19643
406,13331,59617,32.877,698.11,507.21,0.15838
406,14548,59041,21.72,518.63,169.14,0.50814
408,14458,59065,25.948,737.58,440.74,0.25192
409,14562,59080,22.52,868.96,446.63,0.32102
410,13263,58455,19.151,808.13,449.61,0.28505
411,13324,58206,32.28,474.31,231.14,0.34471
411,14732,59155,20.924,502.24,206.92,0.41643
411,15378,59685,24.489,719.69,459.3,0.22086
415,15022,57945,38.492,440.81,538.38,-0.099641
418,13142,58252,31.459,382.98,287.05,0.14317
419,14312,59651,39.596,629.57,345.55,0.29127
420,14254,60138,28.717,548.37,369.75,0.19455
421,15005,57771,36.605,277.72,260.9,0.031232
423,13443,57763,24.75,210.27,526.81,-0.42945
424,13526,57932,26.311,256.65,311.84,-0.097079
425,13133,59348,22.148,537.68,278.28,0.31791
430,14280,59123,40.071,151.09,238.46,-0.2243
435,14363,58765,27.406,470.96,101.45,0.64554
435,14663,60720,17.371,1453.1,765.47,0.30995
438,13328,58427,15.127,1514.1,357.45,0.61802
439,12616,58531,38.496,349.34,143.36,0.41805
439,14294,58760,34.618,735.85,598.14,0.10323
440,13432,58301,10.218,1948,181.05,0.82992
440,13895,59844,24.939,593.59,249.42,0.40827
441,13626,58532,8.1127,2298.5,130.99,0.89217
441,13838,59911,19.441,726.05,363.46,0.3328
442,13527,60010,30.988,597.69,171.63,0.55381
443,13977,59829,36.679,557.7,540.94,0.015256
447,12863,59207,34.449,378.75,239.06,0.2261
448,14066,58840,26.128,437.33,239.37,0.29253
448,15054,59214,17.961,993.22,376.6,0.45015
449,13601,60409,35.471,762.42,473.11,0.23416
454,14595,60479,28.981,556.2,164.32,0.54389
455,14383,58457,36.271,236.24,226.05,0.022046
456,13232,59547,29.477,383.53,235.38,0.23937
457,13216,59530,27.414,345.82,318.02,0.04188
457,13641,59682,39.332,851.16,847.38,0.0022238
458,13628,59659,25.371,610.57,236.67,0.44131
458,15008,59942,28.798,439.64,336.29,0.1332
459,13408,59601,24.673,606.47,371.05,0.24084
461,15119,59163,30.584,515.73,144.73,0.56173
463,14662,60359,27.426,503.12,188.01,0.45593
464,12879,60614,30.577,259.87,151.71,0.26279
464,14299,60087,36.758,321.34,170.79,0.30591
464,14996,59434,24.744,793.51,501.62,0.22538
465,13377,58051,26.821,589.66,300.12,0.3254
465,15117,59182,18.926,982.44,351.71,0.47276
465,15334,60211,34.511,278.07,209.72,0.14012
466,14828,59040,24.999,819.95,340.45,0.41322
471,15098,60247,34.733,280.39,155.47,0.28659
472,13364,59360,20.002,524.6,409.89,0.12275
474,14119,60012,24.689,564.76,443.25,0.12054
475,14222,60073,22.91,567.63,298.46,0.31079
480,13558,58617,30.416,669.78,506.74,0.13858
481,13569,58248,31.67,620.23,275.91,0.38423
483,14797,60529,31.62,903.14,509.92,0.27828
484,13241,58486,29.821,196.06,106.82,0.29466
485,12669,60331,22.966,833.68,629.63,0.13945
486,12819,60275,23.941,429.15,393.5,0.043341
491,13143,58483,24.085,637.23,196.35,0.52889
494,13142,57949,41.738,1074.9,664.47,0.23598
495,13024,57871,37.838,380.68,316.81,0.091568
496,13253,60491,34.401,524.16,430.15,0.098504
497,12744,58284,37.222,546.43,462.15,0.083564
502,14539,59269,33.641,547.19,606.79,-0.051644
503,14160,58865,27.523,753.97,516.85,0.18659
506,13787,58105,27.759,938.91,702.29,0.14418
506,13954,60656,30.349,849.78,299.93,0.47825
506,15098,59899,35.609,356.19,230.06,0.21514
507,13967,58073,26.933,645.49,553.69,0.076551
507,15081,59918,29.795,574.6,398.31,0.1812
507,15221,58618,30.488,1180.5,641.17,0.29606
508,14286,57981,19.811,348.79,125.45,0.47094
509,13624,59737,35.271,622.31,327.11,0.31093
509,14304,59064,30.014,709.74,558.59,0.11917
509,15133,60228,25.772,266.5,122.31,0.37084
509,15395,58087,28.395,684.58,345.48,0.32921
510,15365,58207,29.538,468.22,291.98,0.23183
510,15260,59840,33.085,344.78,240.04,0.1791
511,14996,60019,32.44,544.93,490.33,0.052743
