"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,5037.4,80359,35.208,337.84,246.66,0.15601
402,4381.2,80520,31.526,366.29,219.17,0.25129
403,4263.6,80578,31.482,576.33,162.25,0.56065
405,6340.3,79127,27.187,430.74,275.21,0.22032
406,5010.4,79498,33.186,592.66,541.17,0.045417
406,6392.3,78746,34.071,336.82,117.59,0.48246
407,3758.2,78769,30.999,1218.5,1003.4,0.096793
408,4841.9,81204,21.564,830.16,226.55,0.57122
408,6257.8,80623,27.972,874.48,583.12,0.19989
409,4791.5,79261,31.179,526.31,251.39,0.3535
410,4623.7,79672,21.131,215.95,113.19,0.3122
416,4074.8,79624,31.987,487.45,337.77,0.18137
418,5513.4,81711,39.011,653.14,472.42,0.16056
418,6309.2,79198,27.277,584.23,351.19,0.24913
419,4481.5,81429,38.649,348.8,264.85,0.13681
430,5733.5,79641,32.25,374.47,153.95,0.41733
441,4076.7,81021,35.076,330.69,266.31,0.10784
443,3533.4,80784,36.326,447.98,126.06,0.5608
444,3427.6,80800,31.692,767.12,417.38,0.29526
445,5325.2,79856,34.832,664.69,382.07,0.27
459,5813.1,79174,32.437,1034,557.89,0.29907
462,5900.7,79271,29.447,384.42,230.74,0.24982
474,4980.8,81623,29.535,929.98,506.22,0.29506
475,5057.1,81429,29.769,380.55,124.29,0.5076
483,4362.8,81586,37.112,1008.6,604.09,0.25083
484,6232.4,80917,31.962,302.57,180.18,0.25353
486,6359.4,80354,35.61,692.39,491.16,0.17002
487,4947,79199,31.598,256.72,126.61,0.33941
488,4400.5,79279,30.333,298.74,156.95,0.31113
493,5020,80684,26.4,214.81,125.83,0.26122
493,5200.3,80304,39.318,301.36,267.02,0.060415
495,5473.7,80934,35.707,535.14,319.8,0.25189
496,5630.2,80913,33.649,392.02,197.53,0.32989
501,4330.1,81639,20.457,1068.7,624.52,0.26232
512,3568.1,81366,27.087,2079.6,1025.4,0.33953
512,3539.4,81408,28.575,1783.2,881.01,0.33863
513,3566.6,81584,29.832,1958.1,1117.3,0.27337
514,3610.6,81692,26.413,601.28,363.25,0.24679
518,6270.8,79026,35.251,418.43,268.55,0.21818
520,5042.9,80801,40.062,701.73,529.39,0.13998
520,5602.1,80215,32.448,406.74,387.3,0.02449
521,3767.6,81468,21.684,1068.5,456.92,0.40092
521,4433.2,81126,30.935,800.44,536.79,0.19716
522,4842.5,81248,32.694,1330.1,793.14,0.2529
524,3752.4,79771,37.27,392.56,255.77,0.211
