"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,10869,63535,27.561,607.32,289.61,0.35422
402,10522,63696,26.246,577,192.7,0.49929
403,10507,63657,32.887,292.43,217.63,0.14665
403,11057,62883,34.187,481.62,308.21,0.21955
405,10787,61726,29.048,804.52,565.48,0.17448
408,10767,61348,30.919,727.02,551.17,0.13758
409,10690,63303,32.544,467.1,206.96,0.38593
410,9495.7,62628,29.709,302.34,305.52,-0.0052312
413,10128,63725,32.373,426.2,157.45,0.46047
414,11803,60904,27.876,312.21,220.41,0.17236
415,9585.7,62115,21.112,510.82,363.72,0.1682
415,11046,62442,40.081,373.85,218.83,0.26156
416,9640.9,61878,28.271,584.25,323.68,0.28699
417,11566,63235,32.414,442.89,380.04,0.076378
418,12299,61635,33.752,492.76,159.2,0.51163
419,10164,61095,22.996,860.06,527.93,0.23929
420,11199,60909,29.827,345.22,174.3,0.329
425,10892,62134,30.541,386.74,485.38,-0.1131
426,10761,63260,32.598,487.12,274.93,0.27846
429,9738.5,62416,43.418,606.97,257.47,0.40431
431,9784.2,62780,32.558,697.39,601.78,0.073593
431,11378,62065,36.447,331.5,187.92,0.27642
432,9703.3,63708,22.699,405.3,179.88,0.38521
433,10017,63618,31.609,396.02,190.93,0.34942
434,9989.3,61132,34.847,313.62,114.39,0.46549
437,11357,61907,33.574,433,233.56,0.2992
439,9856.6,61641,33.059,284.63,332.41,-0.077432
440,9896.9,61669,28.182,383.28,354.21,0.039419
441,9916.8,61640,31.944,394.61,433.44,-0.046896
443,9919.4,61746,27.127,268.75,199.07,0.14894
444,10809,61421,26.692,541.77,232.92,0.39868
445,10898,61364,35.476,509.59,426.68,0.088558
447,9999.5,62342,22.934,649.77,417.13,0.21805
447,10950,61534,33.569,737.41,666.15,0.050774
447,10984,62815,35.705,382.94,139.09,0.46711
447,12084,62821,30.533,613.1,403.21,0.20652
452,10529,60796,30.948,517.99,207.76,0.42747
452,11585,63214,30.184,805.79,603.36,0.14365
455,9841.5,62207,33.157,316.57,233.7,0.15059
462,11392,61454,34.834,301.08,209.93,0.17839
466,10625,63484,34.528,672.21,642.12,0.022894
469,12381,62236,29.895,228.39,183.38,0.10933
469,12394,63336,21.578,597.29,436.61,0.15541
470,10340,61820,37.18,362.61,129.86,0.47262
471,10266,61772,32.859,505.85,217.12,0.39937
472,10632,62798,24.072,561.45,161.47,0.55327
475,10791,61696,32.172,429.04,320.78,0.14438
477,10944,61291,32.21,413.8,326.52,0.11789
480,12060,63072,30.584,1003.2,834.52,0.091795
485,10430,61074,34.651,353.73,269.75,0.1347
488,11908,63361,27.801,207.86,144.45,0.17999
489,10931,62044,26.004,606.86,582.75,0.020261
490,10965,62239,29.714,528.81,592.8,-0.05706
493,10030,63422,33.463,529.73,319.81,0.2471
493,11912,60980,31.678,488.37,308.06,0.2264
494,9918.7,62497,32.191,192.38,117.31,0.24238
494,11802,60837,31.17,458.76,623.59,-0.15228
495,9958.8,62923,29.28,292.36,104.63,0.47289
