"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
402,7302.7,74194,23.076,502.48,311.65,0.23439
404,7122.3,74973,29.07,400.63,229.5,0.27158
409,8633.7,74390,24.076,307.18,174.67,0.27499
411,8147.7,73364,29.577,599.03,358.4,0.25133
412,8395,73017,33.079,395.35,269.08,0.19004
416,9081.3,75045,24.661,210.72,138.43,0.20704
417,8808.5,73412,42.315,555.6,448.1,0.1071
418,8305.4,73399,28.657,817.58,416.9,0.32457
419,8308.9,73408,25.873,471.98,259.44,0.29058
419,8849.1,73712,28.722,690.22,286.58,0.41322
421,8482,73341,33.433,251.2,322.87,-0.12484
421,8898.1,75134,30.013,241.39,128.92,0.3037
426,7234.6,75334,28.392,736.88,731.21,0.0038629
426,8647.9,75158,30.115,707.15,274.34,0.44098
426,9187.7,75437,39.566,648.29,510.89,0.11853
427,7810,74768,23.842,1460.2,1099.5,0.14093
429,7346.1,75661,19.156,1412.2,767.43,0.29582
430,7129.4,75553,27.105,996.61,431.07,0.39613
430,8560.4,75074,35.894,548.94,135.07,0.60506
431,8928,75190,32.807,320.73,231.14,0.16233
432,9068,75273,23.816,658.48,697.67,-0.028901
434,8792,74926,22.892,763,378.09,0.33732
434,9020.1,73732,31.635,377.87,116.95,0.5273
436,8047.7,73310,31.279,572.34,270.65,0.35788
436,8706.5,75693,28.485,589.43,307.52,0.3143
438,8791.5,74529,34.086,239.36,161.53,0.19413
441,8381.6,73821,33.031,219.63,239.5,-0.043275
442,9007.6,72995,36.541,901.8,449.06,0.33516
443,6950.3,75427,33.989,301.02,264.2,0.065152
444,8009.2,73446,29.306,1059.2,783.83,0.14942
444,9022.2,73504,34.805,230.88,107.42,0.36496
447,8486.9,74147,22.526,467.69,188.54,0.42538
448,8375.4,75723,33.403,447.88,352.32,0.11942
448,8609.9,73975,29.111,1064.7,562.02,0.309
449,7673.3,73239,29.763,385.13,182.64,0.35664
449,8727.2,73918,32.15,605.05,318.77,0.30988
449,9329.6,72861,30.331,285.35,277.37,0.01418
451,9124.6,75174,27.558,468.55,541.62,-0.072334
452,7121,75271,29.664,734.37,620.56,0.083994
453,7530.9,72805,26.683,1051.8,699.54,0.20112
453,7756.6,74330,21.792,923.41,715.31,0.12698
455,7767.6,74255,19.256,888.92,263.67,0.54248
455,7944.2,73119,24.866,475.13,317.97,0.19815
457,7059,75087,30.225,427.77,238.56,0.28396
457,8369.6,72806,26.966,344.02,104.14,0.53524
459,7445.5,74148,32.412,486.15,225.99,0.36531
460,7618.3,73700,24.133,1091.3,867.76,0.11409
460,9127,74395,29.222,580,351.47,0.24534
462,7488.6,73780,29.387,262.64,111.07,0.40559
