"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,10688,58836,25.298,357.17,175.25,0.34169
400,11684,58717,28.314,412.76,215.76,0.31342
401,10929,59079,37.039,760.93,348.86,0.37131
404,11511,60578,29.287,662.31,308.25,0.3648
406,10409,57788,33.676,502.58,317.89,0.2251
406,10820,60536,29.762,687.81,479.04,0.17891
407,10360,60058,32.183,764.94,215.86,0.55983
410,9567.3,59076,25.083,941.46,437.76,0.36521
411,9728.8,59007,23.98,677.28,310.13,0.37183
411,11393,60051,30.151,149.06,212.22,-0.17482
415,12345,58225,34.121,510.94,293.77,0.26987
416,10230,59481,21.758,1576.8,971.04,0.23775
417,10647,60675,26.818,523.96,381.32,0.15757
421,9645.3,57972,29.234,336.09,173.51,0.31904
422,9614.8,58013,32.421,443.03,266.48,0.24884
423,11789,59004,31.746,651.61,384.06,0.25833
424,9523,58377,37.468,508.98,354.56,0.17882
427,9864.2,58153,36.745,381.04,105.59,0.56604
429,9768.3,59021,27.483,633.72,439.39,0.18109
430,9580.6,59133,35.006,653.31,346.4,0.307
432,10332,58487,34.772,346.09,316.39,0.044834
434,9579.9,58209,24.749,366.69,163.41,0.38347
434,9820.4,59282,31.77,678.73,556.06,0.099349
436,9715.6,57806,31.337,315.74,171.03,0.29729
440,11092,60256,23.649,477.07,345.76,0.15958
442,9445.1,59267,37.933,356.68,158.69,0.38417
443,10733,58882,29.796,302.17,114.62,0.45001
450,10402,58481,22.311,628.13,372.54,0.25542
451,10331,58633,34.643,537.72,322.15,0.25071
452,11621,60033,27.658,423.44,304.43,0.1635
453,11717,60039,28.999,940.18,610.37,0.21271
454,9460.2,58628,29.562,912.54,616.09,0.19394
455,11916,60184,29.032,1389,928.43,0.19876
456,12301,57791,28.881,443.76,352.96,0.11398
456,12313,60557,21.954,715.53,168.9,0.61806
457,10291,57980,32.306,555.87,441.18,0.11503
458,9815.4,57854,31.236,878.03,478.25,0.29476
458,11844,60396,36.504,924.06,570.12,0.23688
459,12034,60272,33.034,379.09,206.9,0.29385
459,12316,58376,29.958,682.11,717.62,-0.025372
461,9932.6,60457,33.084,431.77,176.8,0.41897
462,10521,58901,32.034,751.8,152.29,0.66311
462,10618,59402,36.971,944.18,336.87,0.47407
463,11078,57971,27.397,466.1,242.22,0.31606
467,9829.2,58908,24.276,406.69,147,0.46903
467,10854,58817,30.262,859.09,431.21,0.33162
468,10930,58961,19.073,1404.8,860.71,0.24016
469,9800.1,57805,27.843,240.49,135.42,0.27953
472,10028,59774,32.806,361.6,352.62,0.012573
472,11287,58744,33.863,1171.7,631.78,0.29938
474,10263,60504,29.034,621.08,339.13,0.29363
476,10131,58792,31.959,367.48,482.56,-0.13539
476,11146,60447,24.417,590.24,230.11,0.43899
477,9452.3,57748,39.226,245.18,204.6,0.090239
477,10485,60437,32.715,258.5,212.71,0.097181
481,11435,60506,29.47,207.71,124.83,0.24924
483,10045,60239,38.602,629.62,381,0.24601
484,12048,59630,30.239,455.68,322.09,0.17177
485,10853,57971,26.891,471.1,282.32,0.25056
485,12114,59615,32.151,299.25,185.7,0.23414
486,10112,58504,36.655,463.3,182.43,0.43496
486,10704,57866,31.684,398.04,146.27,0.46254
487,10296,60305,31.766,489.6,294.85,0.24826
489,10162,60583,34.671,208.96,126.88,0.24441
492,10619,58258,36.847,623.85,596.48,0.022424
494,10979,58484,28.081,533.55,279.2,0.31294
497,11054,60555,26.183,391.53,135.7,0.48524
499,9640.7,58247,33.94,484.09,573.19,-0.084278
499,10651,60610,26.197,502.54,440.01,0.066337
500,12319,58324,24.668,381.05,321.94,0.084075
504,11883,58258,33.042,340.94,182.71,0.30215
505,10631,58320,33.277,346.74,182.24,0.31098
505,11817,58175,33.895,527.87,383.38,0.15856
506,10253,59605,29.164,728.05,277.11,0.44862
506,11488,60063,29.032,454.89,236.54,0.3158
507,10131,59517,24.925,789.84,217.91,0.56753
507,11626,60182,26.986,660.83,626.06,0.027015
508,11868,60447,28.209,915.6,672.05,0.1534
509,12081,60182,34.14,786.88,331.24,0.40751
511,11054,60387,27.775,1044.7,656.54,0.22817
511,11535,58711,29.227,576.78,440.27,0.13422
514,12353,58791,22.883,336.21,157.75,0.36129
515,12402,60370,34.96,522.06,410.1,0.12011
516,9878,59350,37.051,290.48,108.23,0.4571
516,12218,59604,38.594,759.64,406.12,0.30325
518,9753.4,59459,31.169,699.95,295.06,0.40692
518,12077,59792,21.474,1071.2,608,0.27583
522,9438.6,58927,31.645,482.91,201.15,0.4119
524,9790.9,58971,37.181,710.47,337.3,0.35616
525,9655.2,58902,34.735,671.03,426.84,0.22242
526,9577.8,58697,30.544,414.6,168.48,0.4221
527,11320,58379,31.644,502.86,235.42,0.36224
527,11911,59109,33.964,538.27,189.23,0.47979
528,11395,58392,29.367,1092.9,618.85,0.27691
528,11429,58431,28.984,1026.6,573.03,0.28356
529,11840,60400,26.268,401.56,166.82,0.413
536,9528.3,58138,30.737,868.64,559.51,0.21645
537,9624.5,58152,27.428,707.06,505.18,0.16653
546,9848.7,59856,25.534,267.75,119.61,0.38242
548,11498,60590,30.427,425.6,579.03,-0.15272
552,10570,58264,36.571,382.92,301.46,0.11903
555,10369,58260,31.743,429.77,296.7,0.18317
556,10943,58887,34.327,566.25,539.51,0.024186
558,10367,59812,36.495,646.83,389.57,0.24822
561,10720,57947,33.451,348.26,342.89,0.0077757
565,12402,59114,35.08,251.17,116.01,0.36811
571,11334,58701,26.287,671.99,475.96,0.17077
572,11441,58653,19.349,654.36,320.2,0.34289
575,10642,59376,30.788,336.89,388.35,-0.070963
576,11292,59686,28.872,449.88,163.22,0.46755
577,11189,59590,36.757,323.74,230.76,0.16769
577,11976,60702,30.184,632.65,315.09,0.33507
578,11807,60717,26.276,854.35,512.38,0.25021
579,10917,60565,29.913,338.59,199.97,0.25738
581,12151,57904,30.862,521.02,121.99,0.62057
582,11893,57762,29.57,642.1,464.22,0.16078
584,11501,58349,34.916,267.08,131.85,0.33898
586,12029,59049,26.117,812.74,491.42,0.24638
586,12337,57727,28.016,438.37,253.98,0.26632
586,12354,58307,23.315,1058.2,607.94,0.27025
588,10921,57830,33.623,433.09,138.14,0.51634
588,10868,60258,34.681,1012.3,751.13,0.14808
588,12274,58516,28.373,424.92,185.5,0.39222
589,10327,59438,35.902,495.01,374.98,0.13796
589,10991,60180,29.905,727.1,286.39,0.43484
594,10557,59159,36.982,161.56,101.52,0.22824
596,10171,58212,34.543,192.36,155.53,0.10585
596,10283,59658,30.28,539.26,178.95,0.50167
596,10686,60427,28.781,488.45,342.56,0.17557
