"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,14481,32098,29.446,443.94,165.47,0.45695
401,14572,31974,29.653,757.68,361.78,0.35365
402,13913,33358,32.786,816.18,843.03,-0.016179
406,13670,31809,22.229,1095.3,693.49,0.22464
407,11782,32033,14.364,554.1,292.4,0.30916
407,13464,31405,20.103,793.09,300.12,0.45094
408,11833,32112,28.541,575.32,209.54,0.46605
408,13705,31831,26.97,353.2,128.67,0.46595
409,12102,32070,14.337,582.76,116.26,0.66737
409,13238,31818,23.775,845.03,343.43,0.42206
409,14157,33073,20.464,703.56,379.25,0.29951
410,11867,33472,29.994,900.26,775.86,0.074223
410,12978,31691,31.484,397.43,294.9,0.14809
410,13578,32520,32.174,573.12,701.37,-0.10063
410,14024,33073,24.614,480.64,343.85,0.16591
411,11954,33123,23.946,1070.4,666.72,0.23237
412,12047,33591,31.655,373.34,241.61,0.2142
412,13895,32600,28.381,1091.7,796.76,0.15617
413,12875,34102,20.666,431.53,229.42,0.30578
413,13772,32965,20.348,1240.6,511.18,0.41638
414,13476,33096,26.965,528.52,305.93,0.26674
414,14003,32095,21.474,423.39,300.13,0.17037
415,13681,33047,24.797,537.69,313.63,0.2632
415,14647,33235,30.434,384.9,145.76,0.45066
423,14613,33678,24.119,424.64,185.55,0.39184
424,14623,33623,33.979,282.06,136.99,0.34619
425,12266,32549,24.644,310,238.18,0.13102
426,12822,32414,19.757,774.44,415.92,0.30119
426,13113,31633,35.18,515.71,410.78,0.11326
428,14662,31640,24.698,336.64,225.03,0.1987
429,13042,32378,24.052,380.86,218.14,0.27166
430,12888,32517,16.643,1251.3,633.07,0.32807
431,13136,32316,33.964,652.96,522.15,0.11131
431,13412,31795,30.491,525.01,524.04,0.00091851
432,13451,32211,24.072,1068.6,481.71,0.37856
433,12073,33442,30.738,1177.1,299.21,0.59466
433,13418,32258,33.151,495.05,360.63,0.15709
434,12018,33214,27.505,869.28,431.89,0.33615
434,13555,32365,34.803,364.25,257.34,0.17199
435,12142,33346,25.729,584.95,437.23,0.14451
436,11987,33156,31.442,875.78,812.82,0.03729
436,13346,32619,28.434,455.19,130.85,0.55345
436,14016,33667,23.676,645.95,380.9,0.25812
436,14543,31757,23.797,1681.2,1158.4,0.18411
437,12035,33131,22.307,658.75,383.66,0.2639
438,12571,33121,23.422,968.13,354.15,0.46434
439,12774,33038,27.937,611.44,307.78,0.33034
439,13610,33811,32.112,1358.6,1003.3,0.15046
442,13378,31873,26.372,532.83,343.32,0.2163
444,13620,32236,29.688,522.12,194.61,0.45696
445,12085,31995,24.273,335.37,241.82,0.16207
445,12987,34030,31.167,670.52,564.26,0.086055
445,13327,32090,28.278,701.81,364.59,0.31622
445,13571,32938,33.012,288.28,202.16,0.17559
446,13538,32799,19.252,537.42,310.95,0.26695
448,12946,34332,30.685,544.05,583.14,-0.034678
449,13250,31742,31.76,627.16,303.01,0.34849
450,13326,31804,27.116,556.96,456.06,0.099603
453,13409,32239,26.561,331.67,339.15,-0.011138
454,13652,32069,28.192,505.79,349.35,0.18294
455,12549,32338,27.547,975.69,692.04,0.17008
455,13518,31913,25.487,875.44,502.56,0.2706
457,11977,34116,25.968,571.25,294.04,0.32036
458,11995,34264,35.451,363.84,258.99,0.16834
458,12079,32912,33.434,842.7,391.26,0.36585
458,12998,31617,39.974,550.15,306.68,0.28416
459,12047,32991,24.85,460.69,306.32,0.20127
459,12123,34328,30.4,600.19,605.17,-0.0041377
460,12029,32933,20.027,530.1,190.49,0.47129
461,11901,34384,36.605,672.26,250.75,0.45666
461,14515,31542,22.785,519.34,418.84,0.10712
461,14648,32265,35.066,645.09,366.24,0.27572
462,14264,33839,23.086,582.51,348.55,0.25129
462,14623,31664,22.442,1626.9,952.91,0.26125
463,12694,32928,29.522,494.09,234.67,0.35597
463,14619,31482,32.907,1059.4,499.48,0.35917
464,11837,32011,23.293,415.26,162.31,0.43795
464,12742,32839,23.663,381.31,184.47,0.34791
464,14602,31553,22.671,705.55,528.23,0.14371
465,12605,32244,31.69,670.38,356.23,0.30601
465,12660,32846,22.893,614.39,149.25,0.60912
466,12653,32270,22.281,562.15,164.52,0.5472
467,12583,32282,28.589,726.07,507.88,0.17682
468,12432,33654,33.037,350.89,347.24,0.0052296
468,12676,31626,23.465,673.91,588.72,0.067466
468,13536,33633,26.872,602.82,383.24,0.22269
469,12275,34011,26.6,576.11,309.54,0.30098
469,13543,33750,28.936,737.07,428.86,0.26435
471,14121,34210,30.616,375.38,155.89,0.41314
472,12903,34298,20.145,541.32,208.49,0.44388
472,13826,32673,34.786,370.04,407.92,-0.048683
472,14063,34034,27.302,628.45,577.15,0.04255
473,12865,34274,23.014,825.83,522.81,0.22469
473,13990,31635,32.226,581.94,194.76,0.49848
474,12107,31970,31.77,244.35,180.63,0.14994
474,12826,33304,34.271,521.08,478.59,0.042506
474,13216,32314,24.962,745.69,125.42,0.71204
474,13857,31742,30.76,486.86,246.95,0.32694
474,14441,34088,26.605,648.61,215.94,0.50046
475,12882,33261,17.853,1948.2,984.43,0.32863
476,13263,33379,26.702,567.07,325.82,0.27018
477,13330,33496,32.164,571.69,189.4,0.5023
480,11945,34267,24.117,537.77,240.33,0.38226
480,11995,33053,21.648,800.45,294.26,0.46239
480,12434,31912,29.83,652.21,441.37,0.1928
481,12170,34319,25.574,294.7,147.67,0.33236
481,12761,31851,18.166,870.38,600.31,0.18364
482,12218,33102,35.495,573.32,281.21,0.34183
482,12832,31849,30.844,700.1,260.28,0.45797
483,12479,32930,28.138,353.23,232.28,0.20657
483,14281,32096,32.706,656.51,689.92,-0.024818
484,14258,32342,27.834,230.04,121.83,0.30752
485,12181,33746,25.762,573.64,300.79,0.31203
485,12752,32877,20.544,559.06,398.58,0.16758
486,13256,31885,25.341,266.12,230.46,0.071813
487,12082,33508,30.554,679.52,423.16,0.23249
487,13537,31641,23.792,415.77,196.12,0.35897
490,12139,31976,28.945,563.56,392.99,0.17832
490,12945,33202,19.297,537.34,203.47,0.45068
491,11846,31919,18.062,611.31,209.08,0.49028
493,12098,34249,30.085,489.7,260.88,0.30487
494,13850,32688,27.613,980.27,415.97,0.40416
495,13810,32915,21.559,901.82,605.28,0.19676
496,13889,33098,21.156,1062.7,763.09,0.16411
497,13852,33198,36.656,593.05,393.86,0.20184
497,14632,31681,32.714,456.01,174.62,0.44619
499,14359,33417,30.635,369.07,229.91,0.23234
500,13417,31833,18.288,920.08,200.83,0.64167
500,14457,33430,39.49,544.23,341.89,0.22834
501,12268,34201,25.793,419.92,271.25,0.21509
502,12542,34137,30.936,503.11,127.39,0.59592
503,11878,31964,22.49,577.4,374.47,0.21319
503,12316,34091,26.142,444.72,193,0.39473
504,13198,32210,33.659,186.18,102.75,0.28878
506,13530,32115,28.439,400.44,279.55,0.17778
508,12646,33853,29.083,317.08,280.66,0.060943
510,12956,34378,30.27,339.39,181.64,0.30277
510,13148,32801,25.435,373.85,311.57,0.090857
510,14042,34248,25.221,545.43,159.09,0.54836
511,14364,32632,27.999,638.03,355.79,0.284
512,13052,32884,13.81,744.74,568.81,0.13394
