"","x"
"1",10972
"2",13529
"3",13425
"4",15898
"5",15446
"6",15564
"7",14140
"8",12243
"9",11736
"10",10957
"11",11161
"12",11463
"13",13269
"14",12683
"15",12468
"16",8252
