"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
404,15592,26358,26.702,540.37,388.41,0.16362
405,15453,26085,32.81,362.34,165.61,0.37263
408,16202,27553,35.508,348.13,144.85,0.41234
414,15488,26898,36.193,576.62,412.26,0.16621
416,16373,26834,37.446,435.87,331.14,0.13655
417,16362,26574,34.177,435.49,332.63,0.13392
418,15274,26484,29.038,440.74,335.53,0.13552
418,16418,27804,27.946,411.14,260.69,0.22395
423,16907,28371,32.983,212.77,103.56,0.34523
424,17159,27895,30.994,394.27,454.6,-0.071068
424,17480,26610,31.227,435.19,686.15,-0.2238
426,17566,27537,35.425,297,1125.4,-0.58239
427,14712,28242,38.091,388.77,274.34,0.17257
427,15583,28091,37.837,295.77,125.88,0.40291
428,14981,28198,30.178,305.45,393.48,-0.12594
436,15582,28287,33.874,231.56,448.33,-0.31883
437,16738,27561,29.39,537.94,260.93,0.34675
438,17575,27075,29.061,473.1,397.01,0.087445
438,17663,27555,24.52,282.14,591.96,-0.35445
439,15460,28213,33.395,453.79,466.72,-0.014049
440,14714,26806,34.347,347.48,187.78,0.29835
441,15372,27912,36.97,456.57,394.87,0.072472
441,16538,27819,36.261,436.07,386.36,0.060443
444,16733,28005,32.755,416.23,555.89,-0.14367
445,16739,28013,22.231,443.13,325.09,0.15365
446,16905,25817,35.959,437,208.35,0.35429
446,16975,27447,32.013,387.57,145.35,0.45451
449,17039,28291,22.307,576.9,307.24,0.305
452,16559,28122,32.339,496.14,423.89,0.078527
454,14777,28099,35.05,885.3,535.27,0.24641
454,16337,27833,30.079,380.45,120.27,0.51962
455,15069,26767,30.863,733.32,304.1,0.41373
458,17179,26773,31.295,548.83,246.48,0.38017
459,14709,27682,30.475,316.82,146.02,0.36901
460,17404,26563,22.191,850.4,601.82,0.17117
462,16462,26235,37.49,465.64,155,0.50052
462,17563,26761,23.08,788.76,593.79,0.14102
465,16307,26376,25.361,369.71,231.56,0.22976
467,15108,28309,35.867,321.71,256.42,0.11292
467,16706,27344,34.121,391.65,260.34,0.2014
468,16934,27494,25.958,620.4,290.4,0.36232
469,16940,27579,28.793,858.26,351.08,0.41939
470,17001,27718,24.918,718.08,300.45,0.41003
471,15020,26685,29.468,586.17,319.28,0.29476
472,17107,26950,29.31,533.3,239.63,0.37995
474,16166,27218,26.204,684.8,382.32,0.28345
474,17442,28081,31.26,506.37,494.34,0.012025
476,15814,27336,33.563,303.54,270.32,0.057887
478,16254,28275,39.049,312.72,325.67,-0.02028
479,17277,28280,33.419,439.11,377.86,0.074971
483,14911,27728,27.909,386.14,146.37,0.45026
485,15603,26929,37.014,288.82,224.74,0.12477
486,15097,27624,33.988,265.42,155.03,0.26254
486,16706,27272,32.59,226.2,113.45,0.33198
488,16754,27493,27.549,359.74,220.76,0.23941
491,15224,25958,35.7,312.08,103.42,0.50219
492,16981,28312,30.629,1056.9,471.68,0.38284
493,16182,26369,32.527,536.67,484.49,0.051103
494,17498,26465,31.091,230.86,221.59,0.02048
495,17616,26377,28.629,250.5,530.28,-0.35834
496,15003,28051,25.442,770.47,457.37,0.255
497,15111,28116,22.515,804.62,651.72,0.10499
501,17348,26517,30.289,577.87,481.26,0.091216
503,17429,26869,26.594,659.11,419.44,0.22222
504,17510,26771,33.313,259.76,210.35,0.10509
506,15960,26013,29.241,837.89,295.25,0.47888
506,16527,28346,29.576,589.24,479.29,0.1029
507,16444,28138,23.603,519.28,276.62,0.3049
508,17387,26493,31.864,304.7,243.32,0.112
509,16784,28267,27.222,410.26,186.02,0.37606
510,14979,27482,35.558,386.49,286.48,0.14862
510,15735,26989,26.621,351.18,167.39,0.35441
510,17148,28185,30.046,590.38,401.67,0.19023
512,17114,27698,29.618,348.26,135.42,0.44005
513,15305,25510,33.699,589.21,486.55,0.095434
513,16635,26200,23.68,811.7,634.06,0.12287
514,16977,26228,24.026,1311.4,764.63,0.26336
514,17390,27803,32.388,236.92,148.68,0.22884
515,15526,27244,35.507,399.8,151.65,0.45
515,16750,26448,36.888,625.14,467.19,0.1446
518,16439,26856,37.689,331.43,287.49,0.070984
519,16346,26757,32.147,366.23,149.98,0.41891
519,17547,26484,26.864,636,427.57,0.19597
520,14902,27176,24.584,321.43,162.66,0.32798
