"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
438,18340,60895,36.264,414.22,207.63,0.33223
455,19131,60264,29.709,275.19,153.56,0.28368
507,18921,61659,32.678,492.28,220.5,0.3813
543,19808,59932,31.463,174.43,103.03,0.25731
545,19086,61402,35.008,563.72,371.92,0.20499
550,19615,60624,30.862,796.29,468.43,0.25924
575,18969,59846,38.721,213.95,152.77,0.16683
575,19430,61425,30.694,1024.3,854.86,0.090156
576,19392,61457,30.923,427.27,480.53,-0.058663
600,19162,60811,36.562,278.14,159.9,0.26992
600,20399,61774,34.27,623.96,527.06,0.084183
634,20624,61472,37.772,485.62,136.51,0.56114
684,20912,60975,34,860.57,301.5,0.4811
690,20084,60344,35.414,150.08,150.85,-0.0025557
706,18497,61729,38.928,639.1,422.53,0.204
710,18305,61218,34.883,136.23,111.86,0.098241
731,18515,61315,36.728,438.55,254.31,0.26592
768,18795,61232,34.918,446.65,265.82,0.25381
768,20933,59681,40.455,272.78,105.5,0.44222
797,18497,61488,32.238,485.95,535.59,-0.048593
855,19128,61281,30.316,835.47,720.23,0.074075
903,19451,61536,27.925,782.55,807.75,-0.015846
904,19403,61467,25.448,949.61,423.22,0.38343
936,20999,60366,39.198,689.99,493.7,0.16583
943,18686,61827,33.194,800.42,161.23,0.66468
967,18380,60788,34.599,880.8,490.12,0.28497
977,18435,61102,32.606,452.84,265.87,0.26015
977,20812,59197,36.184,401.8,210.22,0.31304
985,21183,60831,30.989,318.6,212.92,0.19883
987,20951,61331,30.849,1187.4,504.59,0.40354
1003,19151,59158,33.029,291.91,176.6,0.24613
1016,18350,61641,30.849,320.49,185.65,0.2664
1045,19880,60540,31.339,186.37,102.73,0.28934
1072,19760,59860,36.504,305.66,145.91,0.35378
1078,19299,60303,31.84,840.83,378.14,0.37957
1120,18543,60026,35.663,430.74,170.19,0.43358
1137,19764,59323,37.861,164.39,137.65,0.088525
1158,18820,60332,30.074,1423,1266.6,0.058164
1172,18305,61031,30.188,393.56,313.5,0.11322
1173,18340,60988,37.513,384,285.79,0.14662
1204,21219,60508,35.814,231,146.78,0.22294
1282,20463,61801,28.24,633.63,682.95,-0.037459
1288,18694,60806,29.588,706.24,464.47,0.20651
1295,18522,61015,32.768,569.51,588.73,-0.016587
1296,21267,61733,31.165,701.79,698.81,0.0021273
1329,19723,60926,36.521,938.07,279.72,0.5406
1347,19139,61817,36.876,334.01,279.39,0.089052
1355,18436,61130,36.519,389.31,261.95,0.19556
1355,20639,59171,31.688,214.51,223.65,-0.020855
1385,19599,59346,33.71,223.99,192.56,0.075456
1403,18417,61758,36.201,595.89,480.62,0.10708
1415,19599,61515,34.895,668.4,560.33,0.087953
1466,21065,61210,25.518,175.44,180.25,-0.01355
1468,20835,60969,32.2,528.26,291.6,0.28866
1490,19130,60724,35.461,1596.9,984.41,0.23728
1495,20127,59312,33.557,741.5,321.13,0.39559
1530,19257,61589,29.533,984.51,388.63,0.43395
1542,21199,60007,34.046,401.63,162.96,0.42273
1573,20704,59481,41.239,689.07,473.92,0.185
1612,20943,61290,37.135,292.31,147.25,0.33001
1613,20863,60949,32.723,1063.3,541.93,0.32477
1622,20504,59289,32.166,446.13,257.65,0.26782
1624,18455,60615,38.967,780.36,283.45,0.46711
1631,19941,61436,29.418,866.62,459.29,0.3072
1634,18349,61131,34.257,357.72,272.42,0.13536
1658,18625,61212,29.938,818.8,251.22,0.53044
1677,19323,61510,30.296,631.24,370.89,0.2598
1690,18808,60581,37.01,368.44,220.92,0.25031
1693,19125,60568,41.379,403.89,213.14,0.30914
1699,21279,58959,34.587,559.37,187.08,0.49874
1705,19857,60812,33.05,485.33,422.1,0.069686
1709,19784,60864,32.809,240.07,106.19,0.38665
1741,19175,61045,34.699,222.98,290.21,-0.13102
1759,19340,61447,35.552,607.59,445.63,0.15378
1775,18849,60352,36.718,361.15,131.61,0.46583
1801,19023,61116,27.294,1489.8,758.91,0.32503
1802,19061,60914,32.128,655,389.03,0.25476
1829,20210,59346,35.849,329.72,136.14,0.41552
1850,19228,61675,32.074,441.3,389.89,0.061849
1851,21051,61621,35.178,226.94,145.43,0.21889
1870,18758,61699,35.663,1278.4,699.91,0.29242
1876,18319,59235,32.362,408.17,196.39,0.35029
1882,18420,61743,26.04,753.19,347.93,0.36804
1894,19303,61372,22.71,805.5,559.34,0.18036
1901,19446,61620,35.188,412.13,165.49,0.42699
1923,18780,60057,35.175,190.54,142.07,0.14573
1933,19291,60870,31.931,346.53,211.81,0.24128
1989,20371,61390,33.878,265.05,502.79,-0.30963
2038,18931,60407,36.033,423.44,185.54,0.39064
2063,18994,61681,28.784,660.15,386.75,0.26115
2072,19838,61053,38.966,543.61,631.45,-0.074758
2076,20455,61571,30.581,329.24,240.38,0.156
2094,20614,59247,37.533,693.57,113.53,0.71868
2127,18652,61370,38.262,310.24,273.57,0.062812
2147,19665,60680,33.283,222.53,263.98,-0.08519
2179,21131,59919,30.8,251.16,134.81,0.30145
2183,20664,60965,33.723,242.1,114.04,0.35958
2191,19426,61845,41.11,751.74,538.7,0.16509
2195,18481,61304,29.333,756.72,629.11,0.092087
2221,19247,61626,29.888,775.8,591.29,0.13497
2273,18403,60931,31.814,819.38,699.45,0.078962
2315,19674,61552,26.722,520.77,489.27,0.031185
2345,18918,60865,36.56,388.99,364.56,0.032429
2368,20993,61783,33.643,1612.5,1194.8,0.14881
2388,20350,59042,28.661,302.27,170,0.28006
2404,20948,59657,35.505,271.74,111.31,0.41883
2425,18557,61406,36.631,946.41,176.68,0.68537
2435,18964,60816,31.012,1452.7,736.8,0.32696
2443,19614,61735,34.091,384.8,179.85,0.36297
2447,18402,61761,33.202,993.67,469.37,0.35836
2467,18785,59356,35.582,336.18,252.19,0.14275
2482,18813,61195,34.902,1328.7,987.42,0.14733
2495,19050,60591,35.921,626.85,407.43,0.21214
2506,20503,60562,36.537,562.38,304.01,0.29821
2526,19335,60200,34.973,240.27,187.14,0.1243
2545,19669,61518,33.856,484.69,405.43,0.089041
2556,18734,61312,36.699,386.92,287.59,0.14726
2565,20162,60115,34.887,270.11,228.21,0.084079
2586,21238,60790,37.57,673.73,506.86,0.14135
2588,18829,61129,38.823,1018.9,956.44,0.0316
2597,19786,61443,39.671,576.83,538.2,0.034646
2622,20842,59930,30.077,455.59,292.68,0.21771
2711,18713,61366,36.329,426.58,171.66,0.42612
2729,18468,61591,27.257,393.59,126.31,0.5141
2735,19498,60323,25.791,257.18,285.5,-0.052189
2735,20816,59865,33.675,643.12,691.93,-0.036562
2766,19192,59749,31.15,293.84,202.13,0.18492
2786,19805,60803,37.132,487.37,234.32,0.35064
2812,20626,61462,28.049,656.41,684.4,-0.020873
2820,20344,61492,34.57,1498.2,1031.7,0.18441
2829,18665,61181,30.192,562.99,468.94,0.091142
2869,21247,61209,31.25,1289.6,464.34,0.47051
2885,20402,61524,33.583,1018.1,558.14,0.2918
2891,18390,61548,36.602,843.4,607.43,0.16265
2893,18442,60627,29.963,448.66,289.64,0.21539
2894,19134,61376,19.44,2015.5,246.65,0.78193
2904,18590,61009,34.515,311.39,261.21,0.087637
2911,18348,60367,31.057,326.87,159.8,0.3433
2921,20308,61458,36.763,386.76,168.02,0.39427
2946,19207,60092,38.532,424.27,123.5,0.54909
2947,20073,61568,37.518,564.98,242.08,0.40009
2951,20415,61768,34.761,909.52,420.58,0.3676
2961,20670,61409,31.925,600.48,422.96,0.17345
2970,20049,61746,33.08,575.33,332.4,0.26762
2974,19196,60964,33.417,322.4,307.49,0.023679
2986,19683,60331,35.71,433.26,224.51,0.31735
3052,19183,61401,32.752,577.17,343.43,0.2539
3110,19773,61536,32.283,1208.8,568.1,0.36059
3137,18997,61452,39.068,372.94,326.89,0.065804
3157,18401,60987,20.116,472.93,513.88,-0.041502
3176,19372,61331,31.811,659.19,491.7,0.14553
3177,19077,60623,33.919,744.85,220.47,0.54321
3207,21150,59414,34.919,252.03,347.52,-0.15926
3213,18555,61096,27.092,1446.8,1018.5,0.17374
3233,18351,60482,32.817,1015.7,569.61,0.28137
3237,18746,61414,34.859,716.09,210.41,0.5458
3241,20883,61066,36.506,441.25,142.24,0.51245
3268,18937,61710,33.391,716.83,289.55,0.42457
3270,18833,60424,37.367,610.47,223.74,0.46358
3280,18757,61825,36.043,635.65,800.43,-0.11474
3321,19673,61657,29.401,378.33,252.59,0.19929
3325,20428,61665,32.703,294.66,199.54,0.19247
3333,18341,60279,34,468.81,174.68,0.45709
3341,19707,59595,37.19,162.21,463.19,-0.48125
3342,18872,61327,30.997,1311.6,490.92,0.45529
3342,20722,60163,30.936,348.93,307.47,0.063169
3359,19203,61738,29.506,421.34,491.96,-0.077324
3362,20419,61855,35.528,892.24,563.53,0.22579
3375,20153,61677,29.556,993.94,492.03,0.33776
3376,20398,61545,34.885,369.84,426.92,-0.071638
3391,18512,61751,29.882,361.06,314.47,0.068966
3393,18436,60351,37.326,667.4,317.17,0.35572
3395,19744,60340,29.712,267.5,228.63,0.078344
3401,20240,61650,30.645,796.44,770.2,0.01675
3406,20604,59290,38.655,523.02,317.66,0.24427
3411,20234,61213,35.778,568.86,309.69,0.295
3414,18381,59012,39.765,216.51,145.72,0.19542
3439,20220,61633,22.003,482.14,283.83,0.25891
3440,20239,61547,26.384,527.93,263.51,0.3341
3442,20458,61328,37.546,536.42,277.86,0.31754
3443,20403,61339,29.183,633.25,413.84,0.20954
3454,20012,61665,31.274,765.59,551.6,0.16246
3455,19885,61534,31.221,849.68,471.54,0.2862
3468,20837,60506,32.772,580.3,382.98,0.20485
3491,21212,60767,32.381,180.54,116.56,0.21534
3492,18938,61318,35.803,499.98,436.33,0.067977
3495,19003,61406,37.568,417.09,316.83,0.13661
3503,20686,61636,34.989,204.87,195.69,0.022926
3505,20857,60225,33.159,395.37,354.46,0.054558
3507,19389,60993,26.182,406.22,108.74,0.57768
3512,18985,61215,27.811,703.8,300.89,0.40104
3513,19039,61263,31.716,317.47,207.23,0.21011
3514,18608,60543,32.17,344.31,108.04,0.52232
3520,18576,60369,41.659,291.92,251.97,0.07345
3532,21151,58965,35.861,673.64,274.17,0.42146
3561,18556,59830,33.497,306.92,298.9,0.013231
3561,20487,60913,37.739,387.29,202.97,0.31227
3577,21108,61844,26.622,1800.9,2869.1,-0.22874
3579,18470,60277,32.751,476.1,289.17,0.24426
3580,20616,60536,35.325,450.18,401.19,0.057545
3623,19420,61470,31.609,458.4,312.22,0.18969
3637,19927,61211,35.516,496.44,372.7,0.14237
3638,18583,59569,36.425,432.73,264.92,0.24054
3638,19832,61280,31.04,349.47,123.22,0.47865
3641,19903,61017,31.462,276.26,250.61,0.048685
3642,19970,60901,39.622,763.06,1354.9,-0.27943
3651,19592,61735,43.591,593.77,370.66,0.23134
3664,20867,61621,34.706,840.81,679.62,0.10602
3678,18296,61198,30.539,184.42,164.45,0.05723
3685,20557,59426,35.453,320.59,134.96,0.4075
3697,18685,60742,31.86,419.26,1087.7,-0.44357
3721,20462,60878,23.478,714.08,377.3,0.30857
3722,18797,61073,35.267,192.9,287.9,-0.19759
3726,18684,61548,28.739,279.66,193.82,0.1813
3726,19762,61749,30.127,691.08,360.5,0.31436
3747,19614,60858,36.479,424.17,525.8,-0.10698
3752,18537,61541,25.939,767.23,404.17,0.30993
3776,19541,60299,32.748,649.65,613.23,0.028837
3781,19077,61326,26.822,717.6,533.89,0.14679
3782,19732,61618,35.202,365.28,448.57,-0.10234
3791,19245,59989,35.905,292.1,134.7,0.3688
3794,18630,59568,31.692,742.99,134.98,0.69252
3796,18911,59504,31.831,934.11,435.64,0.36392
3804,20236,61691,30.796,555.1,345.16,0.2332
3808,20228,61744,35.734,750.59,223.43,0.54122
3809,19610,61367,34.285,862.78,659.2,0.13376
3815,20372,61579,38.916,1050.7,712,0.19217
3816,20417,61540,30.596,1068.8,729.38,0.18874
3819,21048,59876,38.062,1611.4,1080.8,0.19708
3819,21036,61783,36.885,818.83,298.8,0.4653
3823,20784,59457,31.143,294.53,118.21,0.4272
3828,18769,61316,36.354,315.95,277.62,0.064578
3837,18415,61181,26.683,2130.9,1748.8,0.098487
3837,18425,61275,34.025,2031.3,1633.2,0.10864
3837,19400,61724,32.677,932.19,165.87,0.69789
3838,19479,61055,38.208,165.41,127.64,0.12887
3839,18333,61243,23.739,498.22,279.41,0.28139
3842,20415,61213,31.991,520.14,291.79,0.28124
3850,20811,59366,34.21,471.25,207.85,0.38788
3854,20968,59823,28.372,281.01,172.17,0.24017
3858,18405,61500,33.778,864.41,234.07,0.57383
3881,20234,61598,28.236,612.28,473.45,0.12786
3899,18592,60599,35.278,383.93,100.77,0.5842
3923,20401,61462,36.855,379.73,300.77,0.11604
3926,20240,61340,30.603,416.97,373.12,0.055508
3930,20736,61473,33.199,301.89,499.24,-0.24634
3971,20417,59149,35.973,635.02,426.81,0.19608
3979,19563,60838,23.957,2109.6,1322.1,0.22946
3980,19258,60870,29.668,954.39,654.84,0.18614
3982,20922,61771,32.729,537.53,406.37,0.13895
3989,18462,60710,30.748,388.7,307.3,0.11695
3997,18572,61199,30.296,473.98,338.34,0.16698
3998,18484,61155,28.505,597.05,455.06,0.13495
4001,20364,59232,34.681,566.58,593.46,-0.023173
4009,20632,61392,30.997,1022.9,797.49,0.12381
4011,20141,61251,16.01,1182.6,801.86,0.19184
4012,20113,61269,30.703,934.27,738.58,0.11698
4018,20002,61768,28.409,528.48,302.28,0.27228
4022,20669,60650,28.175,471.34,290.52,0.23734
4026,18552,61272,36.379,702.29,331.55,0.35861
4029,19836,61719,35.99,940.79,720.48,0.13262
4034,20413,60307,36.804,631.51,751.89,-0.087016
4035,18297,59914,41.421,975.31,462.6,0.35656
4039,18738,60465,27.813,940.35,210.49,0.63419
4042,19519,61150,31.855,294.22,106.64,0.46793
4043,19107,61159,37.195,468.83,334.57,0.16711
4051,21050,61832,31.025,254.87,117.12,0.37029
4059,20160,60393,37.77,233.25,229.69,0.0076924
4065,18312,60617,19.23,995.9,528.51,0.30661
4074,21266,61461,32.742,603.1,272.88,0.37698
4086,20442,61449,37.009,1003.5,829.1,0.095164
4087,20451,61684,32.208,649.25,625.39,0.01872
4089,20841,61667,30.633,1495,850.03,0.27503
4089,20855,59020,39.998,405.18,125.76,0.52628
4090,20667,61661,34.316,421.83,366.24,0.070543
4091,20558,61756,38.63,713.45,323.38,0.37622
4138,19824,61777,31.16,1204.8,544.75,0.37728
4143,20947,61687,34.131,634.09,237.01,0.45585
4149,20125,61814,34.394,536.42,450.7,0.086843
4150,19114,61830,22.532,327.13,434.85,-0.14136
4155,20529,61656,30.465,813.67,631.57,0.126
4165,20029,58859,36.034,573,347.35,0.24518
4166,18296,59133,34.19,820.95,281.57,0.48922
4168,20923,60638,35.286,1020.6,582.12,0.27358
4179,19539,60639,32.936,536.28,468.91,0.067016
4180,21008,61197,37.941,596.69,554.03,0.037076
4186,19036,61618,29.123,714.68,445.48,0.23204
4186,20913,58868,36.811,510.63,304.07,0.25353
4187,21060,59057,26.858,602.6,353.3,0.2608
4195,21127,59125,36.312,781.75,289.23,0.45988
4205,19493,61752,30.8,1050.3,1096.5,-0.021519
4213,21040,61702,36.441,187.88,182.18,0.0154
4244,18407,60669,35.433,791.7,285.29,0.47021
4245,19795,61573,28.785,1148,752.16,0.20833
4246,19822,61502,34.415,407.27,171.23,0.40802
4254,19417,61836,38.695,316.32,329.66,-0.02064
4259,20028,61664,31.289,349.21,317.81,0.047072
4266,19935,61602,40.519,1187.9,1228.3,-0.016711
4269,19453,61078,34.943,344.06,121.47,0.47816
4283,20219,61412,35.352,297.38,292.31,0.008594
4311,19433,59993,20.861,733.69,258.5,0.47894
4313,20724,61591,22.643,292.54,199.88,0.18817
4314,18744,60575,35.127,1023.5,780.44,0.13472
4314,20951,61296,38.084,642.56,593.35,0.039814
4317,18528,60582,37.187,407.86,206.24,0.32833
4348,18591,61071,29.394,907.32,354.81,0.43775
4360,19311,60655,40.305,831.46,252.05,0.53475
4369,18660,61801,31.861,714.06,422.65,0.25636
4391,20752,60897,32.522,166.45,115.27,0.18166
4402,19904,61702,36.595,647.16,511.03,0.11753
4439,19246,61012,29.196,560.05,645.61,-0.070961
4447,19498,61560,31.932,221.45,130.2,0.25948
4453,19793,61576,27.008,479.95,285.5,0.25403
4470,20912,60082,37.017,429.07,186.41,0.39426
4471,18911,60836,29.468,299.65,110.06,0.46273
4471,20394,59071,37.74,602.83,353.86,0.26024
4479,19406,61508,31.303,858.11,682.09,0.11428
4480,19130,59534,35.389,148,159.49,-0.03736
4486,19191,61543,27.648,273.26,233.83,0.077742
4489,19345,60242,31.175,873.57,974.79,-0.054766
4491,20259,60935,30.122,1083.9,917.77,0.082977
4492,19174,59991,38.198,573.37,314.97,0.29088
4492,19867,60737,36.271,407.53,276.53,0.19151
4502,20694,60039,28.496,143.88,116.03,0.10712
4503,19119,61546,37.274,463.88,230.66,0.33578
4514,18620,59669,29.593,566.17,556.54,0.0085738
4514,20966,60999,36.342,484.9,444.08,0.04394
4515,18813,61802,18.788,496.06,277.53,0.28249
4529,18336,60772,36.484,836.5,620.39,0.14834
4542,20579,61077,35.257,403.84,197.05,0.34414
4565,20399,60988,36.339,193.92,259.47,-0.14456
4571,18496,61617,22.105,1211.6,835.79,0.18354
4572,18348,61560,31.474,854.72,603.06,0.17264
4576,19605,61051,31.586,987.17,617.51,0.23036
4581,19267,61355,30.065,544.74,421.49,0.12756
4582,18688,61040,35.27,252.65,172.99,0.18715
4590,18701,61804,36.182,467.33,222.3,0.3553
4594,21134,60863,33.728,586.91,217.44,0.45935
4598,19718,61359,27.746,521.42,207.39,0.43088
4608,19736,61064,28.642,623.12,251.57,0.42478
4608,20421,61552,32.077,539.55,426.72,0.11677
4610,21217,61587,31.446,640.2,452.43,0.17185
4617,18996,61836,34.211,352.22,252.13,0.16561
4617,19413,59683,35.379,411.41,245.33,0.25288
4618,19120,60015,30.367,474.42,692.69,-0.18702
4619,18380,60701,26.657,1057.4,582.52,0.28958
4628,20455,60578,29.247,570.23,398.45,0.17734
4629,21253,61777,31.737,896.93,310.37,0.48584
4641,18520,60437,34.42,536.38,140.43,0.58503
4653,19990,61696,28.85,887.44,770.56,0.070496
4655,19672,61694,25.275,441.84,112.07,0.59535
4656,20965,61363,31.13,698.25,441,0.2258
4658,20003,61395,33.59,405.15,158.62,0.43728
4659,20195,61583,30.66,802.68,502.93,0.22958
4668,20413,61159,34.51,353.31,212.77,0.24827
4669,20469,61113,30.668,760.49,206.99,0.57211
4677,18899,60238,34.343,693.67,320.19,0.36838
4683,19621,60889,24.476,753.35,510.51,0.19215
4685,20759,60435,30.447,1046.5,683.45,0.20986
4693,20634,60530,35.047,485.21,275.15,0.27626
4701,20591,60676,28.143,668.63,358.52,0.30191
4712,19110,61762,34.403,526.55,451.24,0.077021
4724,18474,61272,16.48,1586.7,395.11,0.60127
4725,20325,60701,38.1,451.29,291.11,0.21575
4727,19086,60522,35.82,203.71,141.58,0.17993
4736,20188,61397,26.494,771.37,693.31,0.053296
4737,20235,61447,33.317,404.64,222.23,0.29098
4740,19461,61580,37.205,815.87,525.79,0.21621
4742,18662,60492,32.501,331.49,133.05,0.42718
4751,20915,60722,30.727,748.49,881.47,-0.081582
4758,18792,61528,24.53,458.11,198.87,0.39459
4759,18629,61809,34.69,543.31,287.15,0.30845
4759,21079,61088,32.625,445.52,132.17,0.54241
4762,19168,61122,30.341,591.91,222.53,0.45354
4763,19358,61227,31.117,789.95,499.55,0.22521
4763,20670,58894,37.485,377.21,240.85,0.22063
4769,20209,61119,35.614,724.84,351.6,0.34673
