"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
402,53077,87353,21.763,362.53,419.51,-0.072867
405,52404,87228,22.192,224.1,122.51,0.29312
408,50941,87484,34,428.5,420.74,0.0091392
408,52926,87139,22.691,170.83,213.93,-0.112
408,53091,84635,25.952,490.09,294.45,0.24937
409,51370,86932,22.853,1171.4,505.04,0.39749
410,51486,87021,21.153,592.91,269.95,0.37429
410,53059,87204,19.567,477.41,143.65,0.53741
410,53426,85979,26.853,355.76,134.75,0.45056
412,51961,85871,36.045,297.32,149.09,0.33204
412,53094,87238,25.308,245.76,240.59,0.010618
413,53154,87316,21.944,388.19,101.61,0.58509
414,53043,87197,16.317,416.29,170.05,0.41995
415,53018,87272,33,283.68,147.98,0.31438
415,53110,85920,33.038,485.18,330.75,0.18927
416,53069,85856,36.254,356.83,217.09,0.24349
417,53045,87355,23.841,475.26,329.4,0.18127
418,53183,85311,37.06,166.8,129.48,0.12597
418,53199,87256,29.483,599.55,279.38,0.36427
420,51025,86658,33.279,164.05,146.06,0.05801
420,51703,84822,26.451,554.99,409,0.15144
421,53078,87485,36.008,223.12,333.21,-0.19787
422,53039,87601,30.689,336.39,199.8,0.25473
423,52932,84881,37.097,567.85,505.83,0.05777
423,53066,87415,27.633,172.99,202.12,-0.077662
424,52503,84991,25.127,455.66,250.56,0.29042
424,52904,87349,27.966,437.31,425.5,0.013693
425,52871,87267,20.665,618.62,666.13,-0.036982
427,50907,86606,37.396,319.59,219.56,0.18555
427,52864,87180,28.34,137.79,100.29,0.15752
428,52844,87224,25.813,132.45,171.05,-0.12719
429,51033,84694,23.251,956.86,808.52,0.084027
431,53391,85163,35.312,804.82,598.9,0.14669
432,50856,84892,26.613,539.7,582.77,-0.038367
433,50757,85061,32.637,458.64,646.5,-0.16999
433,52190,84722,32.2,237.74,178.7,0.14176
436,51502,86311,28.056,632.58,476.6,0.14062
439,51435,86214,32.536,843.4,547.05,0.21313
444,53203,87153,35.744,600.06,325.75,0.2963
447,52452,86433,36.181,230.31,237.27,-0.014887
448,50845,85357,29.548,198.54,185.35,0.034381
450,51589,87354,29.165,388.86,387.24,0.0020922
452,52341,87002,26.01,673.06,369.72,0.2909
453,53374,87176,31.855,279.36,164.53,0.25868
457,51888,85777,33.35,255.22,273.18,-0.033974
457,52430,86649,32.772,183.36,100,0.29417
459,51696,86739,33.54,184.78,207.38,-0.057622
459,53044,84942,31.458,282.59,228.86,0.10506
460,51762,86654,23.453,337.5,214.46,0.22292
460,52959,84860,29.305,309.42,218.91,0.17132
461,51777,86597,18.405,462.35,212.39,0.37044
463,52514,87150,33.186,319.23,226.2,0.17057
465,52899,87207,27.937,802.77,423.33,0.30947
467,53055,85650,34.333,708.95,496.5,0.17624
468,51325,86294,32.388,558.25,383.71,0.18529
469,52515,85172,34.78,218.17,103.35,0.35712
471,51816,86658,25.857,272.68,115.16,0.40613
471,52988,85465,33.867,339.42,226.04,0.2005
474,51792,86583,17.685,589.72,352.32,0.252
475,50956,86462,17.557,1311,734.96,0.28155
475,51813,86663,26.395,617.66,263.57,0.40181
475,52700,87185,27.475,385.94,270.88,0.17518
477,51080,86274,31.503,278.08,161.05,0.26652
477,51099,87264,24.687,439.24,205.05,0.36348
477,51904,86562,31.682,176.9,105.01,0.25501
477,53104,84909,35.573,426.87,153.02,0.47223
480,51980,87180,33.012,273.46,168.07,0.23869
481,51809,85639,33.121,467.81,178.79,0.44698
481,53699,84721,33.377,504.62,106.36,0.65183
483,51206,87096,34.84,352.13,301.37,0.077678
486,51046,86277,36.282,273.92,194.25,0.17017
487,50872,86833,36.36,191.95,105.4,0.29109
488,50894,85404,30.085,436.77,344.7,0.11782
489,52406,85652,31.295,433.22,320.43,0.14965
490,51065,86876,32.655,231.31,153.61,0.20185
490,51379,84801,34.233,179.71,171.65,0.022939
490,52508,85612,23.639,402.14,472.18,-0.080112
493,50775,85319,31.089,218.75,261.3,-0.088646
493,51570,86704,38.407,363.97,285.1,0.12151
493,51682,87605,28.26,597.32,213.69,0.47304
494,50973,85328,33.604,354.81,257.03,0.15982
494,51634,87494,25.882,226.11,156.51,0.1819
495,53512,85139,25.003,774.02,503.83,0.21145
496,50753,84967,39.663,199.15,190.19,0.023028
496,51066,86216,30.676,494.97,531.48,-0.035575
496,53560,85009,32.758,736.51,724.18,0.0084379
497,50991,86390,31.977,889.6,543.37,0.24161
497,53540,85063,22.775,519.42,643.17,-0.10644
498,53702,85156,27.743,495.06,349.93,0.17175
499,52312,84830,22.441,911.93,612.85,0.19614
499,53517,85224,28.157,386.55,360.62,0.034703
500,51751,86464,27.028,434.95,206.19,0.3568
502,50817,85129,31.015,289.78,292.53,-0.004714
505,51517,85777,30.919,653.29,190.79,0.54794
506,50923,86281,28.922,467.56,334.68,0.16563
506,53466,86363,38.49,281.75,139.58,0.33742
507,50944,86187,37.312,728.43,388.67,0.30415
509,51666,84971,29.816,429.37,350.99,0.10044
509,53249,85694,24.617,350.4,229.56,0.20837
510,51517,85697,34.372,439.22,119.35,0.57266
511,51827,87129,34.148,240.02,241.51,-0.0030862
517,52764,85062,36.967,454.87,593.39,-0.13215
517,53527,86409,35.044,260.69,395.84,-0.20585
520,53681,86507,32.06,452.31,474.22,-0.023644
521,51510,84726,38.164,1026.5,939.52,0.044259
522,51575,85150,22.765,682.88,388.62,0.27462
523,51558,85193,24.638,997.53,968.68,0.014674
527,52436,84908,30.063,594.35,213.7,0.47107
527,53703,86624,28.404,418.7,329.1,0.11982
529,52172,84841,34.128,629.26,383.15,0.24309
530,52408,85038,43.031,597.54,433.02,0.15965
531,51454,85991,34.821,379.21,125.35,0.50314
532,52636,87073,36.469,348.88,242.59,0.1797
532,53322,87056,21.948,575.78,473.53,0.097452
533,50908,85158,36.248,386.71,318.91,0.096089
533,53325,86003,34.718,192.74,111.24,0.26809
533,53386,87004,32.934,324.72,150.95,0.36531
535,50795,86382,28.001,299.69,218.76,0.15609
536,50772,86470,25.62,455.93,273.98,0.24928
537,50818,86417,25.388,1049.2,721.47,0.18507
539,52317,85839,29.613,303.08,160.29,0.30814
542,53493,85149,23.095,708.16,479.45,0.19258
543,52872,87163,29.771,317.81,381.37,-0.090904
543,53437,85077,27.232,665.96,400.91,0.24844
544,53335,85536,36.904,492.46,575.27,-0.077556
544,53619,85086,30.558,185.73,119.15,0.21836
545,53624,87366,26.179,527.96,586.15,-0.052233
546,52952,84937,26.183,390.18,294.11,0.1404
546,53669,85191,29.944,968.12,574.35,0.25528
552,51027,86750,34.63,274.45,379.87,-0.16112
552,51851,86651,28.674,359.7,330.79,0.041859
552,53406,85402,30.971,280.08,120.2,0.39943
552,53585,87389,28.406,889.88,685.45,0.12977
553,51839,86683,26.275,238.62,282.48,-0.084168
554,51752,85166,29.245,316.02,121.05,0.44606
556,52997,85116,30.963,512.01,547.09,-0.033122
559,53147,87196,33.768,508.93,121.38,0.61487
559,53143,85554,35.969,308.53,255.44,0.094137
561,51366,86971,34.429,204.63,110.24,0.29979
561,52726,86350,35.825,175.7,172.43,0.0094023
561,53204,87200,28.999,278.1,227.82,0.099391
562,50758,87053,37.513,179.84,175.5,0.012227
563,53345,84752,35.154,280.92,289.31,-0.01472
565,52295,87015,37.259,441.29,263.02,0.25312
566,53079,85469,35.801,320.71,147.09,0.37114
567,51846,86567,32.351,143.49,112.28,0.12201
569,51204,87617,34.41,303.95,118.52,0.4389
570,51332,87620,32.749,347.62,209.83,0.24718
570,52373,87452,31.982,317.42,121.55,0.4462
576,51316,87227,23.165,413.91,304.68,0.152
576,53184,85133,36.949,343,172.9,0.32973
579,52077,84728,27.693,875.02,520.42,0.25411
581,50862,86392,24.281,688.79,473.96,0.18476
582,51865,86648,25.318,325.12,246.86,0.13683
583,51744,86607,36.927,327.73,413.17,-0.11532
583,53055,87122,37.059,637.32,248.56,0.43883
584,51734,84914,32.878,208.99,130.23,0.23219
584,53248,85633,27.768,556.09,293.45,0.30916
585,50848,86721,31.869,743.43,431.24,0.26577
585,50840,86850,27.659,623.91,374.38,0.24995
585,53285,85630,29.178,437.02,196.11,0.38052
587,50847,85002,25.552,320.62,185.33,0.26739
587,50964,86650,32.314,414.86,105.34,0.595
587,51261,85072,39.325,538.86,334.63,0.23381
593,51572,87111,36.051,414.31,178.26,0.39834
594,52559,85876,31.618,406.85,105.23,0.58902
598,51810,86554,22.41,468.77,213.82,0.3735
598,52995,85506,30.218,209.71,244.85,-0.077308
599,53471,84875,24.354,267.08,248.5,0.036034
601,51390,87380,35.414,355.81,280.71,0.118
601,52801,87115,30.037,247.89,204.84,0.095094
601,53217,86005,33.439,290.79,101.57,0.48224
603,52633,87359,33.715,168.25,139.15,0.094679
604,51538,87099,29.813,771.65,353.01,0.37223
604,51860,86513,44.087,787.44,466.58,0.25587
604,53389,85739,31.66,394.42,355.49,0.051906
605,52893,87464,36.896,267.36,333,-0.10934
606,51134,86711,31.888,524.45,131.18,0.59983
606,51480,87147,32.556,430.06,249.53,0.26565
607,50860,85416,25.546,367.36,217.67,0.25586
609,51379,87284,30.902,415.48,130.11,0.52304
611,53356,85090,32.586,215.66,104.79,0.34599
612,53404,86541,32.289,437.96,271.91,0.23392
612,53471,86246,29.01,516.16,355.16,0.18478
616,51139,84663,29.257,384.43,129.05,0.49735
616,51720,87475,28.529,705.98,392.72,0.28512
616,53655,86166,38.138,482.19,324,0.19623
617,50842,87471,32.918,740.97,453.51,0.24066
617,51215,84772,33.822,342.6,247.34,0.16147
617,53133,86945,35.189,252.58,138.39,0.29207
619,53175,86384,30.652,478.93,134,0.56274
621,51730,86676,32.705,160.2,151.38,0.028325
622,51814,86800,33.305,357.11,259.34,0.15859
624,52486,84981,35.229,353.4,169.2,0.35248
624,53373,86633,34.001,228.83,170.23,0.14685
626,52764,86147,33.77,484.26,189.53,0.43743
627,51707,87096,26.75,780.56,440.66,0.27833
627,52506,86182,37.307,357.29,171.66,0.35093
628,50978,87379,28.79,376.38,190.13,0.32877
628,53487,84880,32.843,324.27,312.7,0.018157
629,51401,86999,26.168,313.82,108.14,0.48743
629,51875,85612,32.7,450.07,145.76,0.51075
629,52813,87176,19.514,722.77,656.66,0.047925
629,53646,85027,33.682,253.58,166.69,0.20675
630,52775,87133,33.272,238.93,251.74,-0.026092
632,51415,86905,30.256,628.23,326.31,0.3163
633,51031,86590,34.315,318.33,157.64,0.33761
633,51285,86977,30.278,440.78,212.5,0.34943
633,52872,87124,26.802,522.62,512.13,0.010134
636,52823,85752,30.078,739.62,330.53,0.38228
637,52428,86998,24.498,401.39,428.06,-0.032154
641,52016,87107,36.473,235.45,174.65,0.14827
641,52363,86042,37.471,254.26,391.26,-0.21224
644,51163,85131,41.78,262.95,345.07,-0.13506
644,53295,86547,34.208,281.9,209.91,0.14638
644,53329,85049,25.108,629.37,438.45,0.17879
644,53600,87465,31.855,523.64,169.37,0.5112
646,51429,87208,30.815,456.77,262.14,0.27073
646,52317,87007,21.739,470.88,308.07,0.20901
647,52218,86617,31.204,405.72,165.94,0.41944
647,52243,87110,24.533,447.43,234.47,0.3123
649,51715,84853,33.875,522.13,462.96,0.060064
650,52586,86010,27.725,335.23,336.11,-0.0013078
650,52994,87575,31.602,813.17,460.2,0.27719
652,53505,86800,32.328,512.8,283.26,0.28834
653,53558,85078,36.627,531.32,176.3,0.5017
654,52828,87117,31.964,886.63,496.28,0.28227
654,52868,87043,25.215,814.61,485.61,0.25303
655,52618,87055,30.883,286.04,129.05,0.37819
656,51343,86762,34.496,182.05,166.86,0.04352
657,53095,85842,35.029,656.65,356.93,0.2957
660,52982,85901,35.906,202.06,129.95,0.21717
661,50855,84945,31.254,670.48,706.18,-0.025931
663,52299,85666,32.767,267.39,187.85,0.17473
664,51057,85390,34.104,215.59,218.12,-0.0058309
664,52821,85420,34.606,522.52,465.73,0.057463
664,52851,87012,31.119,329.93,204.5,0.23469
665,53653,85127,27.421,243.47,125.24,0.32067
