"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,36041,87222,33.589,569.09,127.45,0.63405
400,37180,85133,32.968,333.77,184.26,0.2886
400,37732,87553,36.798,378.19,385.99,-0.010211
401,36181,87267,35.763,217.25,332,-0.20893
401,38174,87020,28.389,344.43,358.22,-0.019614
403,36381,86667,24.481,577.02,188.36,0.5078
403,36874,85860,28.338,518.26,318.47,0.23878
403,38005,85490,22.683,818.99,477.32,0.26357
403,38395,85494,17.995,1268.1,491.53,0.44133
404,36567,86606,21.169,772.57,641.74,0.0925
404,38027,85537,32.491,289.79,205.54,0.17008
404,38706,87202,26.67,334.51,252.66,0.1394
405,36546,85624,40.612,456.87,165.32,0.46858
405,36700,86514,32.228,603.05,175.92,0.54833
406,36392,85566,23.921,734.56,345.12,0.3607
406,36790,86749,37.317,272.38,216.91,0.11337
411,36142,86679,27.537,647.1,474.86,0.15352
412,36233,86926,29.051,591.14,423.53,0.16518
412,38304,86203,27.471,358.72,385.36,-0.035804
413,35895,86327,33.691,393.64,217.03,0.28921
414,35891,87148,32.132,462.52,294.09,0.22261
415,36181,87181,38.858,187.67,197.23,-0.024836
416,37371,86414,33.603,278.23,136.05,0.34322
419,38505,86259,28.254,327.72,192.3,0.26041
421,38368,86463,35.664,333.08,176.53,0.3072
426,36044,86509,34.248,498.3,409.93,0.097295
427,36107,87288,29.561,204.03,133.91,0.20748
427,38213,86441,29.739,334.79,276.01,0.096238
428,38082,86398,26.582,680.79,419.02,0.23801
429,37867,86453,35.739,512.27,273.34,0.30413
432,36812,87250,27.075,379.69,266.65,0.1749
432,37411,85089,34.585,287.36,288.9,-0.0026829
433,37676,86720,40.303,318.93,369.3,-0.073175
434,37482,86323,32.29,286.83,180.99,0.22625
435,38015,85959,24.854,526.02,417.82,0.11464
436,36867,87397,35.251,330.47,204.47,0.23553
436,37552,85042,36.593,273.61,189.61,0.18132
436,37935,86186,23.097,406.68,183.75,0.37756
437,37869,87048,24.118,635.44,529.18,0.091242
438,38192,86290,34.194,317.35,211.21,0.20081
439,37635,86882,30.693,372.26,282.31,0.13743
442,37224,87605,21.614,997.46,564.1,0.27752
445,35737,86929,38.1,383.8,124.52,0.51006
445,36714,87295,35.342,389.42,125.69,0.51197
445,37535,86196,30.651,524.19,266.44,0.32601
446,37193,87209,28.914,370.9,168.29,0.37578
446,37531,86439,36.128,388.33,151.69,0.43819
447,37517,86651,30.743,660.62,502.85,0.1356
448,35955,86473,22.942,394.47,312.79,0.11549
448,37538,86400,25.994,504.79,226.66,0.38024
449,36044,85036,18.983,597.56,219.56,0.46261
450,36383,85957,33.25,245.04,147.55,0.24831
450,37448,87184,33.939,561.21,350.32,0.23136
451,36026,84749,21.89,250.8,102.76,0.41871
452,36032,84832,13.809,814.6,294.27,0.46924
454,36043,84791,19.408,446.75,270.93,0.24498
454,36139,86608,35.263,346.71,230.23,0.20191
455,36154,84626,18.628,748.98,339.18,0.3766
455,36240,86734,35.917,390.53,197.51,0.32825
455,36452,87562,35.471,332.39,250.23,0.14102
456,38119,85556,29.614,314.36,115.19,0.46366
457,35849,84659,20.644,310.93,222.86,0.165
457,36179,85476,30.797,277.36,122.09,0.38872
459,36156,85378,32.362,269.55,262.8,0.012674
460,35926,84690,15.037,632.93,214.44,0.49387
460,37135,85921,30.258,373.15,196.44,0.31023
461,36034,84723,17.304,542.07,160.97,0.54206
461,37323,86711,31.504,226.21,123.86,0.29237
462,36229,84952,18.894,515.45,207.89,0.42519
462,36352,86119,35.384,512,428.28,0.08904
463,36361,84812,15.687,386.26,184.85,0.35267
464,37370,86686,19.904,581.9,258.69,0.3845
466,36379,84975,13.562,477.73,185.49,0.44064
467,36203,84844,13.96,373.88,134.42,0.47111
467,36368,86054,31.374,435.08,200.28,0.36956
467,38333,87337,31.6,147.65,100.66,0.18926
467,38586,85313,36.019,351.39,253.07,0.16266
468,36181,85664,28.513,939.97,599.31,0.22131
468,36197,84876,28.684,223.93,154.53,0.18337
469,36396,84896,16.177,876.82,271.19,0.52755
469,36738,86475,34.239,543.99,226.42,0.41222
472,36831,84848,28.354,224.06,108.53,0.34738
472,36907,85447,11.775,671.48,170.96,0.59413
472,37658,85829,27.142,422.96,211.45,0.3334
472,38280,85339,32.759,304.05,296.68,0.012277
473,36674,85309,19.932,404.33,183.05,0.37672
474,36490,85032,26.847,229.37,159.03,0.1811
474,38704,87511,28.926,392.33,317.08,0.10607
475,38501,87450,24.256,501.64,408.12,0.1028
476,38446,87461,25.539,389.86,391.95,-0.0026676
479,37133,86415,31.775,833.16,603.37,0.15996
480,38335,84634,32.23,173.42,135.92,0.12122
486,37061,84703,31.58,190.83,127.31,0.19968
488,37645,84984,22.22,390.44,151.91,0.4398
490,36230,87536,29.85,323.07,215.21,0.20038
491,36358,87597,29.723,327.75,452.51,-0.15989
492,37682,86980,34.964,295.01,181.37,0.23854
493,36290,87567,34.546,700.24,211.36,0.53628
493,37170,86202,34.131,654.92,520.9,0.11398
