"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,58820,84044,30.11,386.34,179.26,0.36614
401,57485,83509,20.59,536.26,647.52,-0.093987
401,58740,83793,29.318,400.7,250.88,0.22993
401,59716,83492,31.148,691.88,471.82,0.18911
402,57882,84551,25.185,443.7,369.69,0.090989
402,59403,84013,35.584,190.3,162.79,0.077908
403,57791,83451,28.1,488.79,231.61,0.357
403,59362,83777,26.893,370.39,147.9,0.42926
404,57039,82435,39.84,784.85,149.78,0.67949
404,59489,81891,35.297,192.01,248.32,-0.12789
405,57975,83537,20.993,250.7,178.2,0.16904
405,59296,84117,18.86,215.38,273.5,-0.11888
406,57200,82660,28.886,391.5,194.47,0.33625
406,58230,82623,27.097,402.74,323.85,0.10858
406,59432,83443,30.035,160.45,159.26,0.0037219
409,57349,83097,30.413,249.47,119.4,0.35263
409,58165,83572,36.233,313.3,170.74,0.29452
409,59292,84534,34.934,138.21,136.97,0.0045244
411,57078,83442,35.594,347.42,204.27,0.25946
412,59307,81962,34.594,585.02,441.02,0.14035
413,57024,81640,38.664,400.93,351.14,0.066202
413,57713,84387,32.638,337.44,302.5,0.054602
413,58785,84475,33.418,469.06,325.69,0.18039
413,59282,82049,31.33,756.73,546.74,0.1611
414,57384,84145,22.073,496.45,311.51,0.2289
414,58405,84618,34.069,413.59,170.81,0.41543
415,59615,83432,33.983,331.3,236.25,0.16748
417,59345,81696,33.1,521.66,286.35,0.29123
417,59492,81663,30.906,592.54,335.4,0.27711
418,59162,81736,27.988,846.1,494.5,0.26227
419,59262,81816,29.902,513.7,440.25,0.076996
421,59351,81637,31.179,499.56,129.07,0.58937
422,57865,83535,16.739,689.03,414.4,0.24889
427,57596,83351,34.916,174.28,137.3,0.11867
429,58466,83592,26.28,1005.8,105.64,0.80991
431,57475,82989,32.772,577.99,189.99,0.50523
431,59610,84025,31.508,311.8,106.47,0.49092
432,57612,83183,25.051,338.37,108.34,0.51495
433,57587,83216,23.796,404.42,159.36,0.43467
433,59223,83783,36.908,653.75,152.69,0.62132
434,58182,84388,28.393,271.25,157.14,0.26637
434,58980,83741,21.526,725.02,375.58,0.3175
435,57150,83594,30.653,270.91,116.62,0.39813
435,57366,82853,23.385,516.1,163.75,0.51827
435,58082,81631,44.017,496.48,291.63,0.25992
435,59065,83717,34.109,704.53,491.09,0.17852
437,57321,82669,22.284,628.35,411.45,0.2086
441,59429,84078,31.436,498.11,124.39,0.60036
442,58234,83746,30.068,863.55,451.51,0.31333
444,57740,82143,28.826,373.82,147.34,0.43456
444,59583,84268,33.635,316.82,302.54,0.023058
445,59139,83100,36.226,374.72,189.27,0.32882
447,59019,83858,30.132,296.78,253.39,0.078868
448,59050,83747,21.162,519.95,529.01,-0.0086298
449,59060,83903,29.379,494.97,181.49,0.46342
450,57927,83478,34.122,706.15,562.89,0.11289
450,59186,82056,32.297,304.55,223.31,0.1539
453,56915,83311,32.468,291.59,154.43,0.30751
453,58157,83468,31.988,191.9,181.94,0.026641
454,58178,83136,30.423,578.79,462.5,0.11168
456,58832,82171,28.03,186.62,158.26,0.082227
457,57988,83602,28.451,690.25,701.08,-0.0077828
458,58248,82410,28.121,269.56,187.07,0.18066
459,57457,83783,24.977,352.46,291.49,0.094671
460,57420,83824,33.318,245.25,238.33,0.014295
461,58990,83467,26.669,1262.7,994.25,0.11894
462,59105,83961,31.388,190.66,332.78,-0.27151
464,58192,82397,33.98,235.67,263.67,-0.056082
465,57306,81704,35.475,454.14,144.14,0.51815
465,58697,84346,36.258,359.28,121.32,0.49515
466,57481,83006,32.667,238.94,148.72,0.23273
466,58920,84269,27.672,810.77,435.37,0.30126
466,59379,84607,33.722,561.89,168.49,0.53863
467,58832,84229,24.851,586.67,482.04,0.097903
469,58880,82577,27.499,323.84,339.1,-0.023012
470,58903,82687,26.55,413.09,260.9,0.2258
471,58861,82831,32.502,552.36,275.78,0.33398
472,56744,82843,33.96,375.1,271.03,0.16105
472,58120,84345,32.687,240.96,103.53,0.39893
474,57376,84162,24.452,413.81,246.98,0.25248
474,59016,81972,27.53,332.21,481.14,-0.1831
475,58440,82857,29.826,414.37,628.76,-0.20553
475,59483,84142,26.564,529.33,366.26,0.18208
476,59722,83112,23.584,664.97,353.34,0.30603
477,59699,83193,22.522,689.22,383.77,0.28467
478,56821,83397,34.798,691.01,379.09,0.29149
479,57455,82449,36.768,263.66,266.86,-0.0060318
480,57049,81653,37.706,216.52,269.95,-0.10984
480,57869,83387,23.017,702.21,523.28,0.146
480,59151,84171,35.912,146.22,129.06,0.062332
482,57712,84383,30.673,330.21,174.17,0.30938
483,58604,81835,35.643,690.29,389.35,0.27874
485,58081,83472,37.587,615.44,470.58,0.13339
485,59449,83299,30.857,789.19,414.81,0.31094
486,58956,83616,32.981,411.06,286.47,0.17861
488,57940,82158,32.811,331.96,162.48,0.34276
488,57869,83247,29.74,590.79,567.96,0.019701
489,57968,82270,35.552,549.51,222.57,0.42345
490,58042,83477,19.861,748.16,392.05,0.31231
491,57095,84028,31.49,534.81,555.59,-0.019054
491,59494,84463,26.141,617.83,260.64,0.40661
491,59719,83622,32.754,204.28,156.21,0.13335
492,58200,82305,26.005,689.7,169.3,0.60581
494,59699,84031,34.443,729.11,363.5,0.33462
496,58501,84378,30.156,186.09,124.4,0.19869
498,57160,84036,32.564,556.77,192.02,0.48712
498,59373,83082,37.942,214.5,203.91,0.02532
499,57281,84245,33.466,383.91,143,0.4572
499,58502,82216,33.157,557.39,231.41,0.41326
500,57305,84198,25.739,340.83,187.33,0.29062
500,58790,84231,28.068,759.56,494.31,0.21155
501,58874,84248,16.793,675.15,285.41,0.40574
502,57963,83518,33.683,201.83,168.37,0.090405
504,58675,84326,31.748,336.57,152.96,0.37509
507,58062,83817,31.615,741.01,729.92,0.0075425
507,59388,83803,32.561,345.7,181.15,0.31234
508,58146,83600,25.247,826.18,439.34,0.30568
508,58671,84282,20.847,505.47,272.22,0.29994
509,57683,82795,32.539,248.8,164.32,0.2045
509,59664,83973,29.986,603.33,377.27,0.23053
510,57895,83606,32.696,550.17,1034.1,-0.30545
