"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
402,28100,86121,23.627,451.08,300.89,0.19973
404,29187,86596,30.892,314.08,147.74,0.36018
405,27886,86305,31.673,273.82,248.03,0.049417
406,28187,85011,33.36,622.48,126.44,0.66234
409,26881,87621,30.163,354.96,209.34,0.25805
410,29202,85232,32.603,291.19,130.68,0.38047
411,26991,87533,26.543,579.33,541.18,0.034052
411,27751,85242,30.827,401.86,262.48,0.20981
411,27860,87499,29.782,460.66,664.2,-0.18095
412,29159,86643,33.452,650.83,304.16,0.36301
413,27557,85220,37.002,326.5,214.1,0.20792
413,29089,87156,27.544,457.65,165.87,0.46796
414,28620,87324,38.477,908.06,517.86,0.27364
416,26796,85711,33.332,524.32,516.99,0.0070381
417,26951,87379,25.263,336.35,202.71,0.24792
418,28903,87603,28.621,240.08,145.58,0.24502
420,26784,87048,31.03,573.91,300.36,0.31289
423,27960,86581,31.837,365.21,209.2,0.2716
423,29688,84683,39.103,400.4,311.35,0.12512
425,28368,85254,34.107,407.91,361.65,0.060112
426,27403,85610,34.484,954.39,908.78,0.02448
426,28417,85347,29.781,275.29,196.15,0.16787
427,28357,85339,24.296,307.08,244.97,0.11252
427,28804,86695,16.908,754.29,445.92,0.25693
427,28940,85607,30.505,578.74,306.58,0.30742
428,29708,86412,28.912,1071.2,826.09,0.12921
429,27096,86792,33.729,355.27,432.75,-0.098316
429,28578,85656,24.07,585.75,385,0.2068
430,29154,86591,34.13,375.84,198.14,0.30959
430,29715,85542,37.388,703.66,687.74,0.011435
431,29074,84722,35.06,1038.6,563.32,0.29671
432,28953,85153,34.97,1038.5,438.1,0.40662
432,29326,85012,30.441,815.6,408.34,0.33275
434,29126,85035,30.2,744.97,602.41,0.10581
435,27474,84948,34.653,325.2,111.07,0.49083
435,29046,84934,23.969,1680.1,973.3,0.26638
436,28941,84894,23.725,1168.5,597.07,0.32366
436,29069,84886,17.399,1250.9,653.86,0.31345
437,29030,84926,22.664,291.34,126.22,0.39545
438,29142,85153,19.441,783.9,238.94,0.53279
439,28194,86752,27.655,450.06,395.64,0.064348
