"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,39041,25810,26.808,465.09,170.52,0.46344
401,38620,24686,33.022,212,571.87,-0.45909
401,39370,27079,33.299,455.11,358.76,0.11838
402,40401,25052,31.091,784.66,173.98,0.63703
403,39955,25069,29.009,647.11,229.03,0.47718
403,40766,25118,38.005,465.2,323.21,0.18009
404,39363,25697,32.894,413.21,472.66,-0.067115
405,39456,25932,27.953,480.2,236.46,0.3401
405,39878,24892,28.361,710.55,632.33,0.058248
405,40786,25307,25.696,635.79,438.33,0.18383
407,40844,25277,25.344,1295.3,668.44,0.3192
408,40765,25346,24.79,651.43,337.23,0.3178
409,40765,25379,25.817,755.52,492.31,0.21093
410,41081,25946,16.893,779.53,576.22,0.14996
412,39387,24976,34.951,1069.8,1148.1,-0.035334
412,41172,25613,16.989,721.64,924.54,-0.12325
415,38775,24917,23.882,735.6,285.15,0.44129
417,41241,27179,34.201,565.42,329.03,0.26429
418,39718,25792,29.887,634.62,440.43,0.18063
419,39764,25920,25.857,416.29,341.59,0.09857
419,40506,26520,25.272,368.29,190.62,0.31789
420,39035,24724,24.532,363.62,210.27,0.26722
420,40495,26117,26.755,613.92,439.18,0.16593
421,40068,27518,38.491,824.05,404.47,0.34153
422,40515,25849,25.431,514.15,153,0.54133
423,39813,25348,25.536,696.72,308.61,0.38605
424,40359,26239,26.264,627.17,549.02,0.066442
425,40237,27333,33.259,248.04,124.81,0.33051
425,40509,26444,21.239,1046,535.74,0.3226
427,40306,26766,25.173,1329.5,755.73,0.27516
427,40355,24705,28.934,488.96,274.08,0.28161
429,38705,27485,23.835,517.9,235.74,0.3744
429,39712,26803,34.436,493.61,289.09,0.2613
429,40150,26066,25.613,640.86,356.14,0.28558
429,40961,25468,26.566,1974.4,1369.9,0.18077
430,40194,26770,34.73,1263,922.59,0.15576
430,40963,25405,16.357,1992.2,1230.4,0.23638
432,39257,26261,31.996,464.46,241.46,0.3159
432,41097,27053,33.154,1042.9,623.8,0.25147
434,41254,27186,37.681,539.24,258.76,0.35148
436,38845,24990,27.109,338.55,240.36,0.16961
436,41359,27398,23.429,1015.8,400.21,0.43473
438,40437,24673,37.539,349.19,155.79,0.38297
438,40844,26620,35.874,389.96,167.5,0.39906
439,41191,27547,25.945,245.44,136.23,0.28615
442,40308,26537,21.786,385.04,181.22,0.35993
444,40616,27040,37.659,566.55,280.73,0.33733
445,40255,25992,26.32,463.55,171.07,0.46087
445,41366,25040,32.912,657.34,437.82,0.20045
446,40228,26008,30.427,365.23,233.01,0.22102
447,38643,24706,36.583,1595.4,899.38,0.27899
448,39488,26207,33.147,404.76,140.18,0.48554
448,40473,26170,24.296,433.93,540.3,-0.10919
448,40470,27201,21.596,302.6,484.17,-0.23078
448,41341,25552,26.286,1065.6,1083.4,-0.0083133
449,40586,27096,27.086,691.94,638.6,0.04009
450,40288,25873,22.948,1076.6,428.84,0.43029
450,40752,27054,30.83,928.21,504.98,0.2953
451,40282,26051,36.471,434.37,464.92,-0.033966
453,38908,25678,28.043,507.26,203.88,0.42662
454,38671,25547,21.881,471.94,347.16,0.15233
454,39731,25939,33.478,328.9,254.9,0.12677
454,40011,27248,30.922,490.89,367.75,0.14341
455,38748,25533,27.657,586.15,549.86,0.031948
455,39963,26099,32.141,612.78,522.6,0.079431
456,38479,27416,28.729,789.96,439.12,0.28546
457,39734,26479,25.623,1550.1,996.03,0.21762
457,40276,26289,24.092,1016.2,933.61,0.042352
458,38849,25791,29.703,356.51,250.69,0.17426
458,39789,26429,34.329,1177.1,922.98,0.121
458,39664,26719,36.073,963.21,461.86,0.35181
460,39005,26292,37.212,393.16,305.35,0.12572
460,40434,25001,16.861,573.66,245.65,0.40035
460,41398,27466,34.741,922.68,645.91,0.17644
461,40400,25196,17.71,1460.4,960.54,0.20647
461,40634,26241,22.422,582.38,385.47,0.20345
462,39091,26277,32.934,1398.2,1319.4,0.028999
462,41009,26029,26.413,1724.9,1153.6,0.19849
463,40158,26147,21.482,295.45,237.92,0.10787
463,40944,25161,38.622,734.06,278.71,0.44962
464,38783,26099,28.237,236.17,235.12,0.0022288
464,38961,27057,33.117,797.63,766.69,0.019779
464,39895,25898,27.924,562.95,409.15,0.15821
465,38893,26292,31.41,507.45,307.1,0.24596
466,39342,27003,18.197,560.64,345.96,0.2368
466,39436,24780,31.09,674.23,227.68,0.49512
466,40335,25697,17.283,505.96,106.27,0.65286
467,39082,27053,20.091,592.57,324.86,0.2918
467,39448,24819,34.769,558.79,271.57,0.3459
