"","x"
"1",8377
"2",9290
"3",7859
"4",7325
"5",8454
"6",10402
"7",8523
"8",6276
"9",5705
"10",5951
"11",7095
"12",10087
"13",10026
"14",4541
"15",3381
"16",5447
"17",8417
"18",4377
"19",6053
