"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,35765,67737,28.676,569.33,462.83,0.10319
401,34250,65532,39.784,491.2,288.77,0.25954
401,34881,65353,31.566,395.54,389.34,0.007897
401,35822,65080,29.059,919.67,623.81,0.19168
401,35812,66421,21.146,768.39,491.72,0.21956
402,34271,67387,33.586,405.23,187.1,0.36826
404,34875,67465,32.89,1063.2,535.31,0.33022
404,35077,65866,31.473,280.32,178.47,0.22199
406,33901,65772,28.45,480.54,187.52,0.43861
408,34623,67656,29.218,606.24,580.96,0.021296
408,34986,66029,31.588,438.33,405.79,0.038539
408,35836,67484,35.099,351.36,224.57,0.22014
409,33401,65334,28.227,852.17,457.8,0.30105
409,35188,66149,30.767,667.83,299.31,0.38104
410,35377,65993,27.9,596.11,304.98,0.32308
410,35779,65126,32.644,369.24,221.4,0.2503
411,35563,65928,22.206,1205.7,726.01,0.24833
413,33414,66143,34.529,141.26,101.83,0.16221
415,35856,67389,20.21,301.23,290.39,0.01832
416,33497,66669,30.12,402.6,275.66,0.18715
417,34959,65493,17.564,303.49,179.2,0.2575
422,34973,65436,37.6,430.82,282.28,0.20831
423,35978,66198,24.626,388.46,122.53,0.52042
424,35282,65029,31.125,317.93,202.45,0.22191
425,35419,65316,28.832,983.5,717.35,0.15648
426,33935,65134,20.568,437.46,264.84,0.24579
426,35422,65991,33.581,675.87,463.89,0.18599
426,35465,65208,26.927,732.01,647.58,0.061201
427,35315,65927,27.865,1503.5,943.64,0.22879
428,34995,65883,31.398,1313.5,889.68,0.19235
429,34963,66063,30.092,782.92,784.58,-0.0010575
432,34529,66396,27.538,454.12,208.33,0.37102
433,33602,65591,25.742,243.54,231.54,0.025268
433,34509,66441,28.292,710.05,527.81,0.14722
435,34955,66947,33.756,392.94,117.8,0.53871
436,35092,65467,28.499,291.46,169.67,0.26411
437,35114,65810,36.018,599,330.11,0.2894
439,33467,65679,20.305,1527,843.74,0.2882
439,34918,67408,31.833,1424.5,894.97,0.22829
440,35236,66574,31.906,273.73,153.93,0.28012
441,34650,64955,28.25,454.97,298.42,0.20779
442,34560,67171,32.053,671.81,524.12,0.12349
442,34736,65935,27.116,359.46,312.9,0.069255
442,35769,67282,34.392,293.21,181.94,0.23417
443,34124,67535,28.421,346.73,153.24,0.38701
444,34168,67677,25.745,832.77,814.46,0.011115
